bil_uuid	name	description	organization_name	lab_name	project_funder_id	project_funder	data_path	submission_status	validation_status																								
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
