Sample ID,Sample Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Metadata Submission,Comments
539072007,whole brain,mouse,NCBI:txid10090,,not reported,571077,P58,female,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539072007,2022Q2,
539071815,whole brain,mouse,NCBI:txid10090,,not reported,624059,P58,female,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071815,2022Q2,
539071000,whole brain,mouse,NCBI:txid10090,,not reported,622128,P59,female,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071000,2022Q2,
539071844,whole brain,mouse,NCBI:txid10090,,not reported,622130,P59,female,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071844,2022Q2,
539071074,whole brain,mouse,NCBI:txid10090,,not reported,629426,P57,female,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071074,2022Q2,
539071765,whole brain,mouse,NCBI:txid10090,,not reported,624060,P58,female,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071765,2022Q2,
539071813,whole brain,mouse,NCBI:txid10090,,not reported,624061,P58,female,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071813,2022Q2,
539071729,whole brain,mouse,NCBI:txid10090,,not reported,620453,P61,male,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071729,2022Q2,
539071829,whole brain,mouse,NCBI:txid10090,,not reported,623653,P60,male,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071829,2022Q2,
539071070,whole brain,mouse,NCBI:txid10090,,not reported,623005,P58,female,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071070,2022Q2,
539071795,whole brain,mouse,NCBI:txid10090,,not reported,620452,P61,male,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071795,2022Q2,
539071771,whole brain,mouse,NCBI:txid10090,,not reported,620454,P61,male,wt/wt,population imaging,enhancer virus labeling,,whole brain,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/lz/lydian/89350ee864e915a9/0539071771,2022Q2,
1058768573,cell_in_slice,human,NCBI:txid9606,,not reported,,70y,Female,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
1059241121,cell_in_slice,human,NCBI:txid9606,,not reported,,63y,Female,wt/wt,cell morphology,PATCH-Seq,ParL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
1065913190,cell_in_slice,human,NCBI:txid9606,,not reported,,44y,Male,wt/wt,cell morphology,PATCH-Seq,CgGr,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
1089242023,cell_in_slice,human,NCBI:txid9606,,not reported,,70y,Male,wt/wt,cell morphology,PATCH-Seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
539733464,cell_in_slice,human,NCBI:txid9606,,not reported,,24y,Female,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
539736925,cell_in_slice,human,NCBI:txid9606,,not reported,,24y,Female,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
539736965,cell_in_slice,human,NCBI:txid9606,,not reported,,24y,Female,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
539736968,cell_in_slice,human,NCBI:txid9606,,not reported,,24y,Female,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
542250240,cell_in_slice,human,NCBI:txid9606,,not reported,,31y,Male,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
575810065,cell_in_slice,human,NCBI:txid9606,,not reported,,61y,Male,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
577251584,cell_in_slice,human,NCBI:txid9606,,not reported,,41y,Female,wt/wt,cell morphology,PATCH-Seq,MFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
819185246,cell_in_slice,human,NCBI:txid9606,,not reported,,42y,Male,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
819194697,cell_in_slice,human,NCBI:txid9606,,not reported,,36y,Male,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
819200626,cell_in_slice,human,NCBI:txid9606,,not reported,,37y,Male,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
819206421,cell_in_slice,human,NCBI:txid9606,,not reported,,38y,Male,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
819209252,cell_in_slice,human,NCBI:txid9606,,not reported,,40y,Male,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
819213795,cell_in_slice,human,NCBI:txid9606,,not reported,,41y,Male,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
819221461,cell_in_slice,human,NCBI:txid9606,,not reported,,39y,Male,wt/wt,cell morphology,PATCH-Seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
819770858,cell_in_slice,human,NCBI:txid9606,,not reported,,37y,Male,wt/wt,cell morphology,PATCH-Seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
819891764,cell_in_slice,human,NCBI:txid9606,,not reported,,36y,Male,wt/wt,cell morphology,PATCH-Seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
839239569,cell_in_slice,human,NCBI:txid9606,,not reported,,21y,Female,wt/wt,cell morphology,PATCH-Seq,ITG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
853712464,cell_in_slice,human,NCBI:txid9606,,not reported,,51y,Male,wt/wt,cell morphology,PATCH-Seq,SOG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
912290093,cell_in_slice,human,NCBI:txid9606,,not reported,,25y,Female,wt/wt,cell morphology,PATCH-Seq,PaCG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
966910744,cell_in_slice,human,NCBI:txid9606,,not reported,,58y,Female,wt/wt,cell morphology,PATCH-Seq,OccL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/85f4b93699151f1c/,2022Q2,
751250580,cell_in_slice,human,NCBI:txid9606,,not reported,,45 years,Female,wt/wt,cell morphology,Patch-seq,STG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
852568749,cell_in_slice,human,NCBI:txid9606,,not reported,,61 years,Female,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
852555942,cell_in_slice,human,NCBI:txid9606,,not reported,,61 years,Female,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
848348663,cell_in_slice,human,NCBI:txid9606,,not reported,,26 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
742954930,cell_in_slice,human,NCBI:txid9606,,not reported,,46 years,Female,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
793647577,cell_in_slice,human,NCBI:txid9606,,not reported,,28 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
848632825,cell_in_slice,human,NCBI:txid9606,,not reported,,26 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
732171906,cell_in_slice,human,NCBI:txid9606,,not reported,,31 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
819197541,cell_in_slice,human,NCBI:txid9606,,not reported,,31 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
820022943,cell_in_slice,human,NCBI:txid9606,,not reported,,36 years,Male,wt/wt,cell morphology,Patch-seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
854665264,cell_in_slice,human,NCBI:txid9606,,not reported,,61 years,Female,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
793439698,cell_in_slice,human,NCBI:txid9606,,not reported,,28 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
902461498,cell_in_slice,human,NCBI:txid9606,,not reported,,22 years,Male,wt/wt,cell morphology,Patch-seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
797099875,cell_in_slice,human,NCBI:txid9606,,not reported,,28 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
847865431,cell_in_slice,human,NCBI:txid9606,,not reported,,26 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
760677048,cell_in_slice,human,NCBI:txid9606,,not reported,,51 years,Male,wt/wt,cell morphology,Patch-seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
1057846127,cell_in_slice,human,NCBI:txid9606,,not reported,,64 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
819983199,cell_in_slice,human,NCBI:txid9606,,not reported,,36 years,Male,wt/wt,cell morphology,Patch-seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
835673569,cell_in_slice,human,NCBI:txid9606,,not reported,,21 years,Female,wt/wt,cell morphology,Patch-seq,ITG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
835615172,cell_in_slice,human,NCBI:txid9606,,not reported,,21 years,Female,wt/wt,cell morphology,Patch-seq,ITG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
967660592,cell_in_slice,human,NCBI:txid9606,,not reported,,62 years,Female,wt/wt,cell morphology,Patch-seq,AOrG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
848627837,cell_in_slice,human,NCBI:txid9606,,not reported,,26 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
770249934,cell_in_slice,human,NCBI:txid9606,,not reported,,36 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
868228854,cell_in_slice,human,NCBI:txid9606,,not reported,,33 years,Male,wt/wt,cell morphology,Patch-seq,MFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
854643458,cell_in_slice,human,NCBI:txid9606,,not reported,,61 years,Female,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
855481765,cell_in_slice,human,NCBI:txid9606,,not reported,,47 years,Male,wt/wt,cell morphology,Patch-seq,ITG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
854632949,cell_in_slice,human,NCBI:txid9606,,not reported,,61 years,Female,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
977164369,cell_in_slice,human,NCBI:txid9606,,not reported,,41 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
977174000,cell_in_slice,human,NCBI:txid9606,,not reported,,41 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
793406223,cell_in_slice,human,NCBI:txid9606,,not reported,,28 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
835699648,cell_in_slice,human,NCBI:txid9606,,not reported,,21 years,Female,wt/wt,cell morphology,Patch-seq,ITG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
855973761,cell_in_slice,human,NCBI:txid9606,,not reported,,61 years,Female,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
880949608,cell_in_slice,human,NCBI:txid9606,,not reported,,44 years,Male,wt/wt,cell morphology,Patch-seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
941803049,cell_in_slice,human,NCBI:txid9606,,not reported,,51 years,Male,wt/wt,cell morphology,Patch-seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
857499169,cell_in_slice,human,NCBI:txid9606,,not reported,,28 years,Male,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
912201392,cell_in_slice,human,NCBI:txid9606,,not reported,,25 years,Female,wt/wt,cell morphology,Patch-seq,PaCG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
919968983,cell_in_slice,human,NCBI:txid9606,,not reported,,44 years,Female,wt/wt,cell morphology,Patch-seq,FroL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
920009568,cell_in_slice,human,NCBI:txid9606,,not reported,,44 years,Female,wt/wt,cell morphology,Patch-seq,FroL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
902503502,cell_in_slice,human,NCBI:txid9606,,not reported,,22 years,Male,wt/wt,cell morphology,Patch-seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
852701727,cell_in_slice,human,NCBI:txid9606,,not reported,,47 years,Male,wt/wt,cell morphology,Patch-seq,ITG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
857679106,cell_in_slice,human,NCBI:txid9606,,not reported,,28 years,Male,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
819133824,cell_in_slice,human,NCBI:txid9606,,not reported,,31 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
856271302,cell_in_slice,human,NCBI:txid9606,,not reported,,61 years,Female,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
856298292,cell_in_slice,human,NCBI:txid9606,,not reported,,61 years,Female,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
919854732,cell_in_slice,human,NCBI:txid9606,,not reported,,44 years,Female,wt/wt,cell morphology,Patch-seq,FroL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
1009830175,cell_in_slice,human,NCBI:txid9606,,not reported,,58 years,Female,wt/wt,cell morphology,Patch-seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
1038296900,cell_in_slice,human,NCBI:txid9606,,not reported,,30 years,Female,wt/wt,cell morphology,Patch-seq,FroL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
880352148,cell_in_slice,human,NCBI:txid9606,,not reported,,62 years,Male,wt/wt,cell morphology,Patch-seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
941837335,cell_in_slice,human,NCBI:txid9606,,not reported,,51 years,Male,wt/wt,cell morphology,Patch-seq,TemL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
914845838,cell_in_slice,human,NCBI:txid9606,,not reported,,44 years,Female,wt/wt,cell morphology,Patch-seq,FroL,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
852425518,cell_in_slice,human,NCBI:txid9606,,not reported,,73 years,Female,wt/wt,cell morphology,Patch-seq,MFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
852543441,cell_in_slice,human,NCBI:txid9606,,not reported,,73 years,Female,wt/wt,cell morphology,Patch-seq,MFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
889748403,cell_in_slice,human,NCBI:txid9606,,not reported,,33 years,Male,wt/wt,cell morphology,Patch-seq,MTG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
851853053,cell_in_slice,human,NCBI:txid9606,,not reported,,61 years,Female,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
1040862623,cell_in_slice,human,NCBI:txid9606,,not reported,,30 years,Male,wt/wt,cell morphology,Patch-seq,STG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
1117890684,cell_in_slice,human,NCBI:txid9606,,not reported,,58 years,Female,wt/wt,cell morphology,Patch-seq,MFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
1117915054,cell_in_slice,human,NCBI:txid9606,,not reported,,58 years,Female,wt/wt,cell morphology,Patch-seq,MFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
851881655,cell_in_slice,human,NCBI:txid9606,,not reported,,61 years,Female,wt/wt,cell morphology,Patch-seq,SFG,cell_in_slice,1,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_human_pseq_m,BIL,/bil/lz/rdaibs/dd90893e7193151f,2022Q2,
